"","eventID","occurrenceID","scientificName","scientificNameID","recordedBy","taxonRank","organismQuantityType","basisOfRecord"
"1","Site1_1929-12-01","Site1_1929-12-01_A18","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"2","Site1_1929-12-01","Site1_1929-12-01_A21","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"3","Site1_1929-12-01","Site1_1929-12-01_A24","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"4","Site1_1929-12-01","Site1_1929-12-01_A27","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"5","Site1_1929-12-01","Site1_1929-12-01_A30","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"6","Site1_1929-12-01","Site1_1929-12-01_A33","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"7","Site1_1929-12-01","Site1_1929-12-01_A36","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"8","Site1_1929-12-01","Site1_1929-12-01_A39","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"9","Site1_1929-12-01","Site1_1929-12-01_A42","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"10","Site1_1929-12-01","Site1_1929-12-01_A45","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"11","Site1_1929-12-01","Site1_1929-12-01_A48","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"12","Site1_1929-12-01","Site1_1929-12-01_A51","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"13","Site1_1929-12-01","Site1_1929-12-01_A54","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"14","Site1_1929-12-01","Site1_1929-12-01_A57","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"15","Site1_1929-12-01","Site1_1929-12-01_A60","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"16","Site1_1929-12-01","Site1_1929-12-01_A63","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"17","Site1_1929-12-01","Site1_1929-12-01_A66","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"18","Site1_1929-12-01","Site1_1929-12-01_A69","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"19","Site1_1929-12-01","Site1_1929-12-01_A72","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"20","Site1_1929-12-01","Site1_1929-12-01_A75","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"21","Site1_1929-12-01","Site1_1929-12-01_A78","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"22","Site1_1929-12-01","Site1_1929-12-01_A81","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"23","Site1_1929-12-01","Site1_1929-12-01_A84","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"24","Site1_1929-12-01","Site1_1929-12-01_A87","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"25","Site1_1929-12-01","Site1_1929-12-01_A90","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"26","Site1_1929-12-01","Site1_1929-12-01_A93","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"27","Site1_1929-12-01","Site1_1929-12-01_A96","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"28","Site1_1929-12-01","Site1_1929-12-01_A99","Iris versicolor","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43196","Edgar Anderson","Species","individuals","Human observation"
"29","Site1_1929-12-01","Site1_1929-12-01_A102","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"30","Site1_1929-12-01","Site1_1929-12-01_A105","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"31","Site1_1929-12-01","Site1_1929-12-01_A108","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"32","Site1_1929-12-01","Site1_1929-12-01_A111","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"33","Site1_1929-12-01","Site1_1929-12-01_A114","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
"34","Site1_1929-12-01","Site1_1929-12-01_A117","Iris virginica","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43197","Edgar Anderson","Species","individuals","Human observation"
